threshold,precision,recall,f1_score,balanced_accuracy
0.010996056334134016,1.0,0.9831932773109243,0.9915254237288136,0.9915966386554622
0.012782606630555068,1.0,0.9747899159663865,0.9872340425531915,0.9873949579831933
0.014569156926976107,1.0,0.9663865546218487,0.9829059829059829,0.9831932773109244
0.016355707223397145,1.0,0.9495798319327731,0.9741379310344828,0.9747899159663865
0.018142257519818197,1.0,0.9495798319327731,0.9741379310344828,0.9747899159663865
0.019928807816239236,1.0,0.9495798319327731,0.9741379310344828,0.9747899159663865
0.021715358112660274,1.0,0.9495798319327731,0.9741379310344828,0.9747899159663865
0.023501908409081326,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
0.025288458705502365,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
0.027075009001923403,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
0.028861559298344455,1.0,0.9411764705882353,0.9696969696969697,0.9705882352941176
0.030648109594765494,1.0,0.9159663865546218,0.956140350877193,0.9579831932773109
0.032434659891186546,1.0,0.8991596638655462,0.9469026548672567,0.9495798319327731
0.03422121018760757,1.0,0.8739495798319328,0.9327354260089686,0.9369747899159664
0.03600776048402862,1.0,0.8487394957983193,0.9181818181818182,0.9243697478991597
0.037794310780449675,1.0,0.8319327731092437,0.908256880733945,0.9159663865546219
0.0395808610768707,1.0,0.773109243697479,0.8720379146919431,0.8865546218487395
0.04136741137329175,1.0,0.7478991596638656,0.8557692307692307,0.8739495798319328
0.043153961669712804,1.0,0.7058823529411765,0.8275862068965517,0.8529411764705883
0.04494051196613383,1.0,0.6722689075630253,0.8040201005025126,0.8361344537815126
0.04672706226255488,1.0,0.6470588235294118,0.7857142857142857,0.8235294117647058
0.048513612558975905,1.0,0.6302521008403361,0.7731958762886598,0.8151260504201681
0.05030016285539696,1.0,0.5882352941176471,0.7407407407407407,0.7941176470588236
0.05208671315181801,1.0,0.5294117647058824,0.6923076923076923,0.7647058823529411
