,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
279,0.0,0.001786279687306975,367.0,235.0,602.0
470,0.002585029576313236,0.0011669835844372856,226.0,377.0,603.0
159,0.0,0.0017593336822952974,367.0,237.0,604.0
224,0.004353063485444064,0.000915703292072322,191.0,413.0,604.0
429,0.0037139055827475342,0.0010227382114913737,202.0,402.0,604.0
295,0.001727317377252291,0.0012418494052116027,250.0,360.0,610.0
238,0.0,0.0017170722774920379,367.0,243.0,610.0
500,0.0012328139206387867,0.0013014948495905518,263.0,347.0,610.0
557,0.0,0.0017091310097150402,367.0,246.0,613.0
88,0.0,0.0017068560395458266,367.0,247.0,614.0
156,0.0,0.0016999743790010794,367.0,249.0,616.0
196,0.0010010557884438942,0.0012744252181209692,265.0,352.0,617.0
207,0.0,0.0016783849924275425,367.0,253.0,620.0
297,0.002362064569403799,0.0011029611040555007,233.0,391.0,624.0
347,0.004683227332816786,0.0,182.0,443.5,625.5
80,0.0019064999235356428,0.0011483780688102197,245.0,381.0,626.0
201,0.0,0.0016406358063081436,367.0,262.0,629.0
299,0.0008880298953148902,0.0012303774187581594,267.0,363.0,630.0
556,0.0,0.0016231875389419045,367.0,265.0,632.0
82,0.0028784801844863317,0.0008155515029248271,218.0,422.0,640.0
472,0.0,0.0015774765624848438,367.0,275.0,642.0
456,0.00232230194606875,0.0009643791127358349,235.0,409.0,644.0
209,0.003741278997359432,0.0,201.0,443.5,644.5
568,0.0013303809925409027,0.0011304330292561536,260.0,385.0,645.0
45,0.0,0.0015665295808193931,367.0,278.0,645.0
4,0.0,0.0015606920254501555,367.0,281.0,648.0
306,0.0,0.0015557033841134954,367.0,283.0,650.0
360,0.002204454257307198,0.0009120801333446633,237.0,414.0,651.0
96,0.0,0.0015538990459405791,367.0,284.0,651.0
101,0.002737750546799367,0.000586962719804551,220.0,432.0,652.0
11,0.00135850929040493,0.0010774090694069568,258.0,395.0,653.0
10,0.0,0.001547252891951108,367.0,287.0,654.0
301,0.0,0.0015374736089911248,367.0,290.0,657.0
525,0.0,0.001517885795836447,367.0,293.0,660.0
74,0.002880783669906739,0.0,217.0,443.5,660.5
491,0.0,0.0015167132816176858,367.0,294.0,661.0
521,0.002698995176573682,9.031801173345295e-05,222.0,439.0,661.0
486,0.0,0.001508045131217579,367.0,298.0,665.0
93,0.0012337454657238567,0.0010153877608139316,262.0,404.0,666.0
420,0.0,0.0015026529833829891,367.0,299.0,666.0
155,0.0,0.0015013583532412728,367.0,300.0,667.0
254,0.0,0.0014942533322329268,367.0,301.0,668.0
169,0.0,0.001462665761430202,367.0,306.0,673.0
18,0.0,0.001460862300238861,367.0,308.0,675.0
565,0.0,0.0014514782980297866,367.0,310.0,677.0
439,0.0,0.0014485054682854728,367.0,311.0,678.0
216,0.0,0.0014469367664931704,367.0,313.0,680.0
219,0.0,0.0014439478056970361,367.0,314.0,681.0
215,0.0,0.00143313160291357,367.0,316.0,683.0
303,0.0,0.0014224028487296516,367.0,318.0,685.0
349,0.0,0.0014214669654682383,367.0,319.0,686.0
554,0.0,0.001418247423181866,367.0,321.0,688.0
87,0.0006817846538440531,0.000873213266350222,270.0,419.0,689.0
523,0.0,0.0014169048584746307,367.0,322.0,689.0
584,0.0,0.0013798439099051217,367.0,330.0,697.0
436,0.0,0.0013636119239234601,367.0,331.0,698.0
106,0.0,0.0013607240903921918,367.0,332.0,699.0
71,0.0,0.0013536305380186999,367.0,334.0,701.0
340,0.0,0.0013356342846600085,367.0,336.0,703.0
566,0.0,0.0013345917260854509,367.0,337.0,704.0
427,0.0004729179694937802,0.0007127257890021464,276.0,429.0,705.0
473,0.0,0.0013147789620657476,367.0,343.0,710.0
569,0.0,0.0013021603981229243,367.0,346.0,713.0
558,0.0,0.001290409761903147,367.0,348.0,715.0
476,0.0,0.0012817903202150844,367.0,351.0,718.0
112,0.0,0.001264563950988,367.0,357.0,724.0
104,0.0,0.001221811952001628,367.0,365.0,732.0
185,0.0,0.0012082735838631134,367.0,368.0,735.0
198,0.0,0.0011920896332699743,367.0,370.0,737.0
499,0.0,0.0011879662237079187,367.0,371.0,738.0
162,0.0,0.001182604946219371,367.0,373.0,740.0
520,0.0,0.0011817697665152753,367.0,374.0,741.0
300,0.0,0.0011521543343257247,367.0,380.0,747.0
248,0.0,0.001138802358214479,367.0,382.0,749.0
222,0.0,0.00112656600405406,367.0,386.0,753.0
496,0.0,0.0011257954018030602,367.0,387.0,754.0
392,0.0,0.001125736946919169,367.0,388.0,755.0
77,0.0,0.0011196078646918005,367.0,390.0,757.0
457,0.0,0.0010995596351044041,367.0,392.0,759.0
367,0.0,0.0010805612312458073,367.0,394.0,761.0
161,0.0,0.0010563564882640536,367.0,398.0,765.0
376,0.0,0.0010482235463811483,367.0,399.0,766.0
46,0.0,0.001030027853472158,367.0,400.0,767.0
494,0.0,0.0010155809025851133,367.0,403.0,770.0
471,0.0,0.0009934551589506541,367.0,407.0,774.0
302,0.0,0.0009771904450471473,367.0,408.0,775.0
283,0.0,0.0009532774206151755,367.0,410.0,777.0
354,0.0,0.0009512980119478524,367.0,411.0,778.0
418,0.0,0.0009498395554775274,367.0,412.0,779.0
550,0.0,0.0008970148410187252,367.0,415.0,782.0
362,0.0,0.0008888751779592317,367.0,416.0,783.0
255,0.0,0.0008858723484809822,367.0,418.0,785.0
548,0.0,0.0008694579532814474,367.0,420.0,787.0
549,0.0,0.0008091708462075705,367.0,423.0,790.0
435,0.0,0.0007970299293414605,367.0,424.0,791.0
23,0.0,0.0007773290217230498,367.0,425.0,792.0
350,0.0,0.0007684453048008856,367.0,426.0,793.0
389,0.0,0.0006684148503764393,367.0,431.0,798.0
545,0.0,0.0005865166759822563,367.0,433.0,800.0
94,0.0,0.0005102998939684516,367.0,434.0,801.0
114,0.0,0.00022234817085908717,367.0,436.0,803.0
167,0.0,0.0002208333480752902,367.0,437.0,804.0
387,0.0,2.9928191448706005e-05,367.0,440.0,807.0
478,0.0,0.0,367.0,443.5,810.5
