,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
285,0.0004233676854714652,0.002024064632373271,279.0,183.0,462.0
253,0.005173456218613204,0.0015384500446141308,174.0,289.0,463.0
294,0.0,0.0026399705388055455,367.0,96.0,463.0
551,0.005949871659490791,0.0014522064975470007,155.0,309.0,464.0
431,0.0,0.0026391247885961624,367.0,97.0,464.0
357,0.004890398867502199,0.0015532750763036017,180.0,285.0,465.0
175,0.00035307891295754956,0.0020013918060433067,280.0,186.0,466.0
50,0.0,0.002608753943483027,367.0,101.0,468.0
385,0.0,0.0025879001562579894,367.0,104.0,471.0
434,0.0,0.0025439016825834077,367.0,105.0,472.0
298,0.0,0.002509844314559799,367.0,108.0,475.0
448,0.011628297339660865,0.00112458007539436,87.0,389.0,476.0
99,0.0,0.0024414561591950537,367.0,111.0,478.0
187,0.004600816915050432,0.0015087904559488532,184.0,295.0,479.0
7,0.0,0.0024346828812056125,367.0,113.0,480.0
86,0.0,0.0024254184981515542,367.0,114.0,481.0
544,0.01595584914474224,0.0002818897210571009,46.0,435.0,481.0
170,0.007617578143981341,0.0012894918947826868,132.0,350.0,482.0
419,0.0,0.002414832660571828,367.0,116.0,483.0
217,0.0016702165451143447,0.0017884495202586616,251.0,233.0,484.0
119,0.006715402371783918,0.0013214453662747762,144.0,341.0,485.0
98,0.003575965029682715,0.0015608269493740839,205.0,280.0,485.0
212,0.0076062651160082595,0.0012717323439294897,133.0,353.0,486.0
278,0.010814954484726025,0.0010820443770538646,94.0,393.0,487.0
552,0.0,0.0023681148970048516,367.0,120.0,487.0
163,0.0,0.002353946034881948,367.0,122.0,489.0
68,0.0,0.0023463675563978412,367.0,123.0,490.0
208,0.0,0.002331167906641993,367.0,125.0,492.0
19,0.007461583789938775,0.0012581050290464415,135.0,358.0,493.0
61,0.006350937452991978,0.001326666787295951,153.0,340.0,493.0
438,0.004654094955077959,0.0014476106820497105,183.0,312.0,495.0
495,0.013067555293448718,0.0007394250800487146,68.0,427.0,495.0
20,0.0025401476874582496,0.001608407971456725,227.0,269.0,496.0
526,0.0058736974449205,0.0013304187801773811,158.0,339.0,497.0
296,0.00307178339356895,0.0015573544370357183,215.0,282.0,497.0
249,0.01445757248866153,0.00016730051165725815,59.0,438.0,497.0
44,0.0,0.00230817041899861,367.0,131.0,498.0
24,0.006824076142160518,0.0012682914830319271,143.0,356.0,499.0
120,0.00046185994241776385,0.001806483499223756,277.0,227.0,504.0
352,0.0,0.002247561418110508,367.0,139.0,506.0
218,0.0,0.0022339998900576183,367.0,141.0,508.0
116,0.0,0.0022324515236264698,367.0,142.0,509.0
361,0.0033501466423575543,0.001485532068892839,208.0,302.0,510.0
432,0.006938864887616747,0.0012060861172353483,142.0,369.0,511.0
30,0.00408320870108958,0.0014333808636328362,196.0,315.0,511.0
335,0.0,0.0022210426511426054,367.0,145.0,512.0
66,0.0,0.002205902454425479,367.0,148.0,515.0
468,0.0,0.0022011486515873,367.0,149.0,516.0
47,0.0,0.002185795491799628,367.0,151.0,518.0
474,0.004393414794188644,0.001340827044033892,190.0,335.0,525.0
453,0.0,0.0021426021017740835,367.0,158.0,525.0
136,0.003304861286834715,0.0014229341233939982,209.0,317.0,526.0
356,0.0,0.0021415827793626087,367.0,159.0,526.0
76,0.0,0.002138994029796627,367.0,160.0,527.0
17,0.006381033474592845,0.0011693213694251854,151.0,376.0,527.0
388,0.0,0.0021356955169933444,367.0,161.0,528.0
108,0.0,0.002124286937825253,367.0,162.0,529.0
22,0.005100932512534184,0.001269322717427248,176.0,355.0,531.0
543,0.0036687532182611005,0.0013979036107768302,203.0,328.0,531.0
